,Hedensted,870.0,730.0,677.0,561.0,566.0,565.0,569.0,754.0,540.0,362.0,482.0
,Horsens,2295.0,1842.0,1683.0,1635.0,1581.0,1464.0,1490.0,1953.0,1443.0,1054.0,1278.0
,Norddjurs,978.0,850.0,731.0,678.0,775.0,758.0,720.0,751.0,600.0,431.0,478.0
,Odder,438.0,346.0,307.0,312.0,373.0,331.0,305.0,397.0,325.0,223.0,279.0
,Randers,2606.0,2390.0,2123.0,1912.0,1949.0,1834.0,1759.0,2169.0,1710.0,1261.0,1506.0
,Samsø,97.0,89.0,78.0,72.0,83.0,81.0,69.0,71.0,59.0,47.0,44.0
,Silkeborg,2137.0,1853.0,1720.0,1545.0,1632.0,1448.0,1425.0,1812.0,1365.0,985.0,1183.0
,Skanderborg,946.0,849.0,761.0,696.0,784.0,719.0,709.0,967.0,727.0,539.0,643.0
,Syddjurs,909.0,746.0,655.0,597.0,690.0,657.0,626.0,793.0,673.0,465.0,536.0
,Aarhus,8747.0,7870.0,7345.0,7120.0,7451.0,7563.0,7739.0,9800.0,7962.0,5792.0,6737.0
,Herning,2161.0,1758.0,1585.0,1441.0,1550.0,1518.0,1427.0,1734.0,1230.0,794.0,984.0
,Holstebro,1168.0,950.0,891.0,880.0,884.0,734.0,753.0,953.0,659.0,456.0,530.0
,Ikast-Brande,1099.0,907.0,829.0,705.0,786.0,701.0,629.0,790.0,580.0,383.0,474.0
,Lemvig,420.0,308.0,263.0,285.0,324.0,257.0,245.0,309.0,232.0,193.0,190.0
,Ringkøbing-Skjern,1228.0,935.0,804.0,657.0,699.0,699.0,695.0,861.0,611.0,425.0,496.0
,Skive,968.0,746.0,700.0,616.0,701.0,625.0,532.0,630.0,421.0,324.0,422.0
,Struer,573.0,458.0,392.0,332.0,352.0,329.0,345.0,398.0,296.0,216.0,264.0
,Viborg,2048.0,1817.0,1680.0,1473.0,1551.0,1420.0,1422.0,1747.0,1328.0,1061.0,1206.0
,Brønderslev,871.0,749.0,725.0,660.0,712.0,670.0,610.0,771.0,610.0,472.0,491.0
,Frederikshavn,1588.0,1448.0,1381.0,1326.0,1392.0,1225.0,1084.0,1352.0,1156.0,875.0,967.0
,Hjørring,1778.0,1555.0,1442.0,1283.0,1469.0,1274.0,1171.0,1471.0,1157.0,793.0,865.0
,Jammerbugt,952.0,804.0,790.0,657.0,653.0,612.0,565.0,734.0,574.0,426.0,500.0
,Læsø,62.0,52.0,50.0,46.0,41.0,45.0,41.0,60.0,49.0,35.0,34.0
,Mariagerfjord,1072.0,950.0,880.0,777.0,812.0,771.0,736.0,902.0,652.0,447.0,528.0
,Morsø,485.0,419.0,354.0,295.0,328.0,304.0,269.0,346.0,229.0,179.0,225.0
,Rebild,588.0,543.0,496.0,481.0,538.0,449.0,446.0,610.0,456.0,331.0,343.0
,Thisted,857.0,767.0,718.0,621.0,674.0,630.0,649.0,810.0,521.0,358.0,470.0
,Vesthimmerlands,1005.0,881.0,822.0,722.0,762.0,693.0,656.0,808.0,572.0,402.0,482.0
,Aalborg,5886.0,5970.0,5902.0,5384.0,5565.0,5387.0,5106.0,6259.0,4979.0,3866.0,4133.0
,,,,,,,,,,,,
